CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,2,0
,2011,,<a href='http://food.csaladen.es/#&map'>Food Energy Flows / FAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Food system EROEI,,Energy return on energy investment for food system [unitless],,0=[0x004529][5] 1=[0x006837][3] 2=[0x238443][2] 3=[0x78c679][1] 4=[0xd9f0a3][0.5] 5=[0xffffe5],,,,,1.579102313244997,1.1022596849049582,2.700235392669323,,6.35486101803474,,,3.242089909649431,2.441351229976004,,2.241878826515445,4.650809313982942,0.9835349703913884,,,1.723968703165216,,1.2846853784418766,1.0505028359882886,,7.601009901133165,,,11.104661715210042,1.9892854935365638,0.726957498855169,2.429708797429717,,,2.694798248227329,2.834504968280038,,5.889285763365299,10.235032910795185,2.3770047506038656,,,4.18883417853082,1.9522301612489188,1.713277515538211,0.6033308212612909,1.9600342331110603,,3.389725954544427,,3.0347695012553575,8.061162662183655,1.7121356483617094,1.5189726497856397,0.40880747543043355,1.977795591730506,1.7606839358200173,,2.3728267844371405,,2.5713275664218003,1.770456023514727,3.780826567884503,1.0704057218903946,2.442234677175951,,,1.8691238385726816,3.9404677131455808,3.559000488229198,0.9952020356668324,2.352287216380381,4.14303850518498,1.9842668112971844,0.8558976574314853,2.9038211323412577,6.862743187662895,,1.0191593938056922,,3.7126622569335557,4.301360795885913,7.180636725398088,1.371060489094629,2.429991623677584,,5.234139799335479,0.006413656038147563,4.125861571125993,0.0026628708386335527,1.0902353231566921,5.251708125066328,0.8767606526304209,0.8859904263244112,0.736910754673144,0.5887267352723933,1.3339588075285689,0.09643695131178509,0.9268436999116019,0.27533123401845183,3.275753541311733,2.398156544171717,,0.03306449070985952,2.279696718918087,5.477680444192469,1.914475283908503,0.7939598190748628,0.7324017738616027,4.245441739941278,0.4215186246314282,,4.6235640822946165,,,4.185757378406574,4.6153217841665874,12.897483013167736,,4.296382148145288,1.9365515100129962,,1.0150863312168097,2.60533381933629,1.1938734495843997,,,1.2155737379832197,0.8232190990084405,,1.082595448645037,4.65660422450742,6.921729187862789,0.31058670867901894,,2.8089915209704635,0.5472933400083542,,0.28267371980451683,4.193958529480495,5.478106938599897,15.237407724463251,,0.33180059086720287,,1.26180020782454,,0.9574581761090661,2.2509725557825067,,10.133494954324481,2.7529459527789304,4.272938516592175,1.678909947423533,0.760519841002169,,0.5931450206062581,5.538858186652312,5.339658048785189,1.9033317967871366,4.572153143011969,,,,,,,0.31116667243428947,1.7351968335040189,4.329655348642126,,8.820499510074507,,4.125396212411225,1.2148728717535937,,1.1113001550268389,1.2559966426990479,1.5243393224541764,1.9159665068703975,6.752096431565599,0.6408001158641057,4.7562583126344045,1.1772620339851025,1.0758861204744365,1.7802882682476706,0.8148565600344786,1.8819422249767976,2.43597321138766,,5.189914196189176,,,0.12407693393222358,1.0251433472715619,1.494008739350271,0.24855011669451904,,,4.794559141215214,4.215703954094102,0.3208630846734782,2.581117295063037,2.521800108111997,2.7544478700531605,2.56732494982709,0.8182705823198136,,1.5217450936127497,2.5368600421518646,0.23792490158921775,3.303412654882275,0.7655246163191457,,,0.7412106751420079,,,,,,,,,,,,
,,Agri-system EROEI,,Energy return on energy investment for domestic agricultural system [unitless],,0=[0x004529][5] 1=[0x006837][3] 2=[0x238443][2] 3=[0x78c679][1] 4=[0xd9f0a3][0.5] 5=[0xffffe5],,,,,1.579102313244997,1.1022596849049582,2.700235392669323,,6.35486101803474,,,3.242089909649431,2.441351229976004,,2.241878826515445,4.650809313982942,0.9835349703913884,,,1.723968703165216,,1.2846853784418766,1.0505028359882886,,7.601009901133165,,,11.104661715210042,1.9892854935365638,0.726957498855169,2.429708797429717,,,2.694798248227329,2.834504968280038,,5.889285763365299,10.235032910795185,2.3770047506038656,,,4.18883417853082,1.9522301612489188,1.713277515538211,0.6033308212612909,1.9600342331110603,,3.389725954544427,,3.0347695012553575,8.061162662183655,1.7121356483617094,1.5189726497856397,0.40880747543043355,1.977795591730506,1.7606839358200173,,2.3728267844371405,,2.5713275664218003,1.770456023514727,3.780826567884503,1.0704057218903946,2.442234677175951,,,1.8691238385726816,3.9404677131455808,3.559000488229198,0.9952020356668324,2.352287216380381,4.14303850518498,1.9842668112971844,0.8558976574314853,2.9038211323412577,6.862743187662895,,1.0191593938056922,,3.7126622569335557,4.301360795885913,7.180636725398088,1.371060489094629,2.429991623677584,,5.234139799335479,0.006413656038147563,4.125861571125993,0.0026628708386335527,1.0902353231566921,5.251708125066328,0.8767606526304209,0.8859904263244112,0.736910754673144,0.5887267352723933,1.3339588075285689,0.09643695131178509,0.9268436999116019,0.27533123401845183,3.275753541311733,2.398156544171717,,0.03306449070985952,2.279696718918087,5.477680444192469,1.914475283908503,0.7939598190748628,0.7324017738616027,4.245441739941278,0.4215186246314282,,4.6235640822946165,,,4.185757378406574,4.6153217841665874,12.897483013167736,,4.296382148145288,1.9365515100129962,,1.0150863312168097,2.60533381933629,1.1938734495843997,,,1.2155737379832197,0.8232190990084405,,1.082595448645037,4.65660422450742,6.921729187862789,0.31058670867901894,,2.8089915209704635,0.5472933400083542,,0.28267371980451683,4.193958529480495,5.478106938599897,15.237407724463251,,0.33180059086720287,,1.26180020782454,,0.9574581761090661,2.2509725557825067,,10.133494954324481,2.7529459527789304,4.272938516592175,1.678909947423533,0.760519841002169,,0.5931450206062581,5.538858186652312,5.339658048785189,1.9033317967871366,4.572153143011969,,,,,,,0.31116667243428947,1.7351968335040189,4.329655348642126,,8.820499510074507,,4.125396212411225,1.2148728717535937,,1.1113001550268389,1.2559966426990479,1.5243393224541764,1.9159665068703975,6.752096431565599,0.6408001158641057,4.7562583126344045,1.1772620339851025,1.0758861204744365,1.7802882682476706,0.8148565600344786,1.8819422249767976,2.43597321138766,,5.189914196189176,,,0.12407693393222358,1.0251433472715619,1.494008739350271,0.24855011669451904,,,4.794559141215214,4.215703954094102,0.3208630846734782,2.581117295063037,2.521800108111997,2.7544478700531605,2.56732494982709,0.8182705823198136,,1.5217450936127497,2.5368600421518646,0.23792490158921775,3.303412654882275,0.7655246163191457,,,0.7412106751420079,,,,,,,,,,,,
,,Total Food Energy Output,,Total Food Energy Output (Food + Biofuels & Others + Exports + Stock Deposits) [TWh],,0=[0x004529][500] 1=[0x006837][150] 2=[0x238443][50] 3=[0x78c679][25] 4=[0xd9f0a3][10] 5=[0xffffe5],,,,,10964.0,3659.0,31464.0,,14342.0,,84.0,95996.0,3207.0,,63227.0,16967.0,8905.0,365.0,,60571.0,298.0,15028.0,45618.0,852.0,7583.0,,,7271.0,4247.0,1122.0,567937.0,,289.0,12452.0,10173.0,,15990.0,16223.0,93267.0,428.0,,2411.0,4317.0,25163.0,1397835.0,34927.0,,2600.0,,9388.0,16921.0,5423.0,10379.0,1234.0,16274.0,13507.0,,23042.0,555.0,97.0,7831.0,23896.0,74136.0,4998.0,,,2778.0,33404.0,1142.0,9609.0,151397.0,1282.0,1199.0,3196.0,147155.0,26774.0,,18450.0,72.0,12873.0,6003.0,999.0,1660.0,4007.0,,6144.0,11412.0,19161.0,2720.0,634803.0,192788.0,71147.0,15077.0,13803.0,9676.0,92431.0,2539.0,87643.0,5514.0,23899.0,23519.0,294.0,2874.0,4731.0,5656.0,4270.0,4684.0,873.0,1796.0,6368.0,,7907.0,1446.0,,12629.0,9609.0,47129.0,468.0,9490.0,539.0,,2333.0,1586.0,107025.0,,,1594.0,926.0,,27294.0,12659.0,37683.0,2231.0,,15927.0,76027.0,,21376.0,4245.0,8155.0,129065.0,,12629.0,,105339.0,,2271.0,3115.0,,13355.0,36487.0,74493.0,54292.0,16830.0,,48252.0,4307.0,31532.0,161630.0,7615.0,33.0,149.0,248.0,,,158.0,22369.0,6909.0,11580.0,,3129.0,,8143.0,3519.0,782.0,4106.0,41404.0,78368.0,11848.0,24990.0,597.0,1424.0,15925.0,10077.0,15861.0,4124.0,91970.0,2477.0,477.0,3289.0,,,1347.0,10422.0,85642.0,4000.0,,,23745.0,65402.0,12034.0,81947.0,26972.0,686794.0,8525.0,22799.0,,24614.0,80021.0,9359.0,6027.0,5088.0,,,20895.0,,,,,,,,,,,,
,,GDP / capita,,GDP /capita [constant 2005 $],,0=[0x004529][30000] 1=[0x006837][10000] 2=[0x238443][5000] 3=[0x78c679][1000] 4=[0xd9f0a3][500] 5=[0xffffe5],,,,,373.4516770642,3790.0180849650105,3171.73508349028,,2593.84349806836,,11275.279956993501,,2090.45956921339,,36504.173941019304,41191.4915556313,3088.28161915795,21013.411913963402,16528.6585120017,563.434792965264,14420.3666488257,4783.53347007009,37920.3468991133,4085.59099360414,552.593707986371,74483.1427406008,1905.4201005928799,1217.7463179641,3353.04586162415,6476.051113162889,5721.28950410265,,25060.832398643903,4680.08117408645,475.441606432535,151.996808379885,637.26255216512,942.523566915125,37021.322763429904,2737.19346363591,,441.35608475391,698.0238702704629,9029.73368091941,3121.96974417227,4140.82909031382,603.260516925271,1922.03238366119,,5518.76657976897,940.0724668466811,10830.6285743969,5049.58742802075,22663.481587188,14897.0058738341,,261.945857504605,48143.8335044366,1127.31343012641,6190.17876085354,4663.87638010483,3469.25365065408,1551.25390973828,2996.6662444762,13218.3469769079,193.557887559809,11256.109498445501,258.48728065998,3685.6493323345503,40530.0508712107,35771.5475500679,6506.88873337438,432.46672325023496,1970.5602205159698,38469.8844951707,686.005702744465,,20007.2698183295,6372.379856485551,2305.89340534225,304.199541246436,463.115196507158,1225.04230386462,453.586549178122,,1541.6523059943,32607.9624584179,11341.686180736799,57279.667842240495,1086.04859727005,1650.55500508319,3314.3627720776503,2304.7326842264397,47538.22740962519,23754.071278759904,30915.2309466781,,36203.4300656211,2827.1258595303198,5015.445079194629,604.217159499377,1145.73507718069,30194.0093999845,587.1357854665371,666.2959889899311,7925.52862423647,7157.11985892505,886.473572852832,256.867819048022,3415.2817799892305,,9618.2309277847,81852.9759805995,45925.4664508437,271.28797008798597,261.54498129537,6535.06664518417,4871.6009472431,496.782862437086,16358.380196837199,2838.8347142825105,626.6646956487281,6491.48789755404,8307.68699592443,2431.4600766724398,,1473.6020725734,4661.74926207368,,2432.8244167898,395.657523274209,,4289.6240587228995,,384.77187234788005,44195.2137402571,,28283.501381888,1282.09345548559,271.50310246458196,1015.81534567069,,64612.647783396504,13728.246319317199,755.4063038121981,9210.20168640833,1408.29183583294,6694.081426298921,1026.16725696582,1769.6758613649802,3760.85655376743,1430.03858963086,10420.3361306771,18916.5207105314,60290.17926851389,22883.7562107558,1050.20140890297,5793.42518293406,6631.528001194979,372.288445000257,10801.0779697168,5864.968247163741,5360.37063379365,2718.64941121371,,962.061710924091,17050.6652273189,793.674302236223,4197.12718846289,14016.4579384145,383.507093463044,36102.750234076804,14957.8972291501,19404.3955816829,1075.38448588931,,6010.44085329347,25937.2406689485,1724.81198000198,832.3144819207381,4388.52262546659,2390.75082875733,45727.0977157729,58534.419707396904,,437.222432239823,3158.0666713328997,3489.0484766178497,745.0071046562281,401.454781372465,,2645.57879699405,14016.194793108001,3783.8524563413703,8413.31838083323,2981.1384273515196,,2623.5690443592603,414.21627625541396,2084.78240654427,23907.075576173702,39808.8154493834,458.954091053276,44341.8118404084,7264.808954182191,793.299266858433,2107.9495290399104,6163.93933752183,946.803417753481,728.3262346730969,986.4527170880341,435.794143697469,,,,,,,19980.103568068,,,,,2666.56075683691,,,
,,Yield,,Weight return on weight investment for food system [unitless],,0=[0x004529][12] 1=[0x006837][8] 2=[0x238443][5] 3=[0x78c679][3] 4=[0xd9f0a3][2] 5=[0xffffe5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.035240125406001,1.1549311845175843,2.6581950517177733,,6.2908847092901965,,,3.5902964747947985,2.1116145845755647,,2.0646450084848778,3.927309161477359,1.0408192873553914,,,1.9195960283546996,,1.3210822811406686,0.93221271442855,,7.2566968124698255,,,12.111201179939302,3.581130552012364,0.3724041812087683,2.5605362362260506,,,3.2999930118629965,3.498969109144153,,5.370459435937808,10.81087673722351,2.61860484618362,,,3.9851815046521146,2.5056024837212414,1.4141416209736926,0.6876660689033248,2.335879926457518,,3.7534987030062092,,3.717233212420554,7.106231027128692,1.964659995804647,1.318635560837326,0.3556863681786437,1.9980762938416468,1.7127218598350589,,2.38876323644904,,2.768700009523236,1.5474895178215171,3.4715501505505597,1.017880371438918,2.551321196833288,,,1.727870017361339,3.77629085070243,3.6680851735033273,0.8728882751520944,2.239097005350254,4.096380320343445,3.6779276355066126,0.5809981695395304,2.871462536149464,6.795763245753768,,0.9230635132111833,,3.9415390084593813,4.303248535173936,6.7239240111699985,1.0563559754641245,2.6345520714520005,,6.621537741451422,0.007832020984529205,3.8378255811518183,0.004036986269577926,1.115763749570792,5.269998798571068,0.9247206038898991,0.956426665967083,0.49711374514393053,0.6594969617057342,1.2787748448018823,0.08866383007274137,0.9032345934375812,0.38829246323423844,1.8511669071894823,2.255182536228695,,0.030447905146729487,2.3918659133849856,5.514802388019237,1.9419549470379998,0.6944646005714534,1.1944326164635015,4.062319847456459,0.2240066297235911,,2.799384414425957,,,4.451268336744155,4.162526140234248,10.396471334979145,,5.217671779853529,2.0171448703203416,,1.196344234764578,2.884498862085553,1.4540566644536697,,,1.0022297183771145,0.739531566630391,,1.0617719495786622,4.24102280667113,8.16040852677625,0.3143501231473316,,2.654505938397887,0.35690598263458506,,0.2820568425829242,4.391175853730952,7.078985433478615,15.347330614198714,,0.3855466462819951,,1.1349334867165237,,0.8187461499035246,2.399647169287787,,10.54726315423394,3.110255203148097,3.893035207419345,1.6508616048347524,0.6918365733481272,,0.6130042720760825,5.4547562209327705,4.547113147953057,1.1335334257601395,4.330187509300947,,,,,,,0.4246474558394814,3.066553636718555,4.844370065927387,,8.733356108514334,,3.1478739096196047,1.134910053912009,14.599931488381225,1.613543325165656,1.3326712605187727,1.359059360495999,2.4143753070955776,2.491242737868859,0.4319676770268679,4.482428982568741,1.0540421294934779,0.869218833608151,1.6777900473198637,0.9500902691439091,1.7838932399668954,2.518651657634225,,4.748388671652965,,,0.11714529461912193,0.6530919296688972,1.4977892986297214,0.40909003504384217,,,4.672829082582479,3.5276729604038306,0.6600682826691827,2.213092170027673,2.583788701814366,2.9102448957136846,2.167016012756124,0.8953739987670846,,1.6490328197633952,2.3694503462724437,0.24788629292022904,3.7693268375267097,0.6420243304103632,,,0.6720163361648002,,,,,,,,,,,,
,,-,,,,,,,,,2.035240125406001,1.1549311845175843,2.6581950517177733,,6.2908847092901965,,,3.5902964747947985,2.1116145845755647,,2.0646450084848778,3.927309161477359,1.0408192873553914,,,1.9195960283546996,,1.3210822811406686,0.93221271442855,,7.2566968124698255,,,12.111201179939302,3.581130552012364,0.3724041812087683,2.5605362362260506,,,3.2999930118629965,3.498969109144153,,5.370459435937808,10.81087673722351,2.61860484618362,,,3.9851815046521146,2.5056024837212414,1.4141416209736926,0.6876660689033248,2.335879926457518,,3.7534987030062092,,3.717233212420554,7.106231027128692,1.964659995804647,1.318635560837326,0.3556863681786437,1.9980762938416468,1.7127218598350589,,2.38876323644904,,2.768700009523236,1.5474895178215171,3.4715501505505597,1.017880371438918,2.551321196833288,,,1.727870017361339,3.77629085070243,3.6680851735033273,0.8728882751520944,2.239097005350254,4.096380320343445,3.6779276355066126,0.5809981695395304,2.871462536149464,6.795763245753768,,0.9230635132111833,,3.9415390084593813,4.303248535173936,6.7239240111699985,1.0563559754641245,2.6345520714520005,,6.621537741451422,0.007832020984529205,3.8378255811518183,0.004036986269577926,1.115763749570792,5.269998798571068,0.9247206038898991,0.956426665967083,0.49711374514393053,0.6594969617057342,1.2787748448018823,0.08866383007274137,0.9032345934375812,0.38829246323423844,1.8511669071894823,2.255182536228695,,0.030447905146729487,2.3918659133849856,5.514802388019237,1.9419549470379998,0.6944646005714534,1.1944326164635015,4.062319847456459,0.2240066297235911,,2.799384414425957,,,4.451268336744155,4.162526140234248,10.396471334979145,,5.217671779853529,2.0171448703203416,,1.196344234764578,2.884498862085553,1.4540566644536697,,,1.0022297183771145,0.739531566630391,,1.0617719495786622,4.24102280667113,8.16040852677625,0.3143501231473316,,2.654505938397887,0.35690598263458506,,0.2820568425829242,4.391175853730952,7.078985433478615,15.347330614198714,,0.3855466462819951,,1.1349334867165237,,0.8187461499035246,2.399647169287787,,10.54726315423394,3.110255203148097,3.893035207419345,1.6508616048347524,0.6918365733481272,,0.6130042720760825,5.4547562209327705,4.547113147953057,1.1335334257601395,4.330187509300947,,,,,,,0.4246474558394814,3.066553636718555,4.844370065927387,,8.733356108514334,,3.1478739096196047,1.134910053912009,14.599931488381225,1.613543325165656,1.3326712605187727,1.359059360495999,2.4143753070955776,2.491242737868859,0.4319676770268679,4.482428982568741,1.0540421294934779,0.869218833608151,1.6777900473198637,0.9500902691439091,1.7838932399668954,2.518651657634225,,4.748388671652965,,,0.11714529461912193,0.6530919296688972,1.4977892986297214,0.40909003504384217,,,4.672829082582479,3.5276729604038306,0.6600682826691827,2.213092170027673,2.583788701814366,2.9102448957136846,2.167016012756124,0.8953739987670846,,1.6490328197633952,2.3694503462724437,0.24788629292022904,3.7693268375267097,0.6420243304103632,,,0.6720163361648002,,,,,,,,,,,,
,,-,,,,,,,,,10530.0,3534.0,28791.0,,13683.0,,,91015.0,2890.0,,62151.0,16710.0,8579.0,392.0,,59867.0,294.0,14240.0,43538.0,786.0,8196.0,,,7076.0,4259.0,1188.0,611456.0,,286.0,12294.0,9276.0,,11983.0,15416.0,95054.0,402.0,,2360.0,3724.0,24290.0,1351620.0,34243.0,,2551.0,,9210.0,16254.0,5855.0,9954.0,1154.0,16041.0,13971.0,,23964.0,542.0,99.0,7680.0,22281.0,73784.0,4636.0,,,2631.0,33407.0,1115.0,9297.0,150723.0,1253.0,1005.0,3194.0,144747.0,23843.0,,18764.0,77.0,12834.0,5726.0,775.0,1354.0,4066.0,,5789.0,10416.0,22025.0,2714.0,622487.0,182036.0,66886.0,15612.0,12972.0,9165.0,91863.0,2554.0,86843.0,5270.0,31579.0,23707.0,271.0,2713.0,4673.0,5028.0,4973.0,4553.0,849.0,1580.0,6056.0,,8458.0,1428.0,,11829.0,8838.0,47244.0,451.0,9185.0,510.0,,2174.0,1588.0,103422.0,,,1463.0,926.0,,26247.0,12405.0,35314.0,2137.0,,15720.0,72358.0,,25457.0,4162.0,7315.0,121609.0,,12442.0,,99275.0,,2100.0,3023.0,,11773.0,35751.0,70499.0,54571.0,16595.0,,45651.0,4014.0,31950.0,174151.0,7317.0,32.0,,268.0,279.0,,158.0,21118.0,6369.0,11839.0,,3017.0,,8655.0,3384.0,876.0,3928.0,37851.0,78701.0,11541.0,24899.0,615.0,1376.0,15944.0,10131.0,16033.0,3941.0,86327.0,2463.0,431.0,3210.0,,,1018.0,10031.0,83275.0,3881.0,,,23419.0,62478.0,15857.0,84556.0,25968.0,681531.0,9618.0,21553.0,626.0,24637.0,73616.0,9011.0,5325.0,5048.0,,,19836.0,,,,,,,,,,,,
